concept_id,source_label,native_category,semantic_role,canonical_role_iri,occurrence_count,workflow_ids,mapping_state,current_decision,current_anchor_iri,proposed_definition,source_evidence_excerpt,definition_basis,recommended_review_action,definition_status,reviewer_definition,reviewer_decision,review_notes,candidate_h2kg_terms,neighbor_context
https://w3id.org/h2kg/decode/workflow/concept/0d-particle-population-degradation-model-fitting-model,0D Particle population degradation model (fitting),,Process,https://w3id.org/h2kg/hydrogen-ontology#Process,3,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-fitting; 0d-particle-population-degradation-model-prediction,reviewed_decode,reviewed_decode_anchor,https://w3id.org/h2kg/decode/workflow/anchor/0d-particle-population-degradation-model-fitting-model,"A computational, analytical, transformation, or generic workflow process denoted ""0D Particle population degradation model (fitting)"" in DECODE hydrogen-electrochemistry workflows. Source context: Considers only catalyst particles; Degradation rates only valid for one specific Test protocol (e. g. one specific Accelerated Stress Test)",Considers only catalyst particles; Degradation rates only valid for one specific Test protocol (e. g. one specific Accelerated Stress Test),"Reviewed DECODE semantic role, source label, source workflow context, and direct-neighbor context. This is a draft for expert review, not an authoritative ontology definition.","Decide: strict H2KG alias, existing H2KG mapping, new reusable H2KG term, or retain reviewed DECODE anchor.",needs_human_review,,,,"[{""iri"": ""https://w3id.org/h2kg/hydrogen-ontology#DegradationPredictionEvaluationMeasurement"", ""label"": ""Degradation Prediction Evaluation Measurement"", ""score"": 0.581}, {""iri"": ""https://w3id.org/h2kg/hydrogen-ontology#PolarizationPointDuration"", ""label"": ""Polarization Point Duration"", ""score"": 0.56}, {""iri"": ""https://w3id.org/h2kg/hydrogen-ontology#CriticalConcentrationOfParticlesPerVolume"", ""label"": ""Critical Concentration Of Particles Per Volume"", ""score"": 0.553}]",Catalyst active particle radius distribution (aged); Catalyst coagulation rate constant; Catalyst deactivation rate constant; Catalyst dissolution rate constant; Catalyst re-deposition rate constant; Catalyst surface tension; ECSA (aged); Time series of electrode potential
https://w3id.org/h2kg/decode/workflow/concept/0d-particle-population-degradation-model-prediction-model,0D Particle population degradation model (prediction),,Process,https://w3id.org/h2kg/hydrogen-ontology#Process,5,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; 0d-particle-population-degradation-model-fitting; 0d-particle-population-degradation-model-prediction; image-tem-data-parameter-extraction-3d; tem-and-eds-analysis-of-mea,reviewed_decode,reviewed_decode_anchor,https://w3id.org/h2kg/decode/workflow/anchor/0d-particle-population-degradation-model-prediction-model,"A computational, analytical, transformation, or generic workflow process denoted ""0D Particle population degradation model (prediction)"" in DECODE hydrogen-electrochemistry workflows. Source context: Considers only catalyst particles; Degradation rates only valid for one specific Test protocol (e. g. one specific Accelerated Stress Test)",Considers only catalyst particles; Degradation rates only valid for one specific Test protocol (e. g. one specific Accelerated Stress Test),"Reviewed DECODE semantic role, source label, source workflow context, and direct-neighbor context. This is a draft for expert review, not an authoritative ontology definition.","Decide: strict H2KG alias, existing H2KG mapping, new reusable H2KG term, or retain reviewed DECODE anchor.",needs_human_review,,,,"[{""iri"": ""https://w3id.org/h2kg/hydrogen-ontology#DegradationPredictionEvaluationMeasurement"", ""label"": ""Degradation Prediction Evaluation Measurement"", ""score"": 0.667}, {""iri"": ""https://w3id.org/h2kg/hydrogen-ontology#PhotocatalyticDegradationMeasurement"", ""label"": ""Photocatalytic Degradation Measurement"", ""score"": 0.562}, {""iri"": ""https://w3id.org/h2kg/hydrogen-ontology#FabricationDesignSpecification"", ""label"": ""Fabrication Design Specification"", ""score"": 0.554}]",Catalyst active particle radius distribution; Catalyst active particle radius distribution (aged); Catalyst coagulation rate constant; Catalyst deactivation rate constant; Catalyst dissolution rate constant; Catalyst loading (aged); Catalyst re-deposition rate constant; Catalyst surface tension; ECSA (aged)
https://w3id.org/h2kg/decode/workflow/concept/0d-particle-population-degradation-model-coupled-with-performance-model-fitting-model,0D Particle population degradation model coupled with performance model (fitting),,Process,https://w3id.org/h2kg/hydrogen-ontology#Process,11,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-prediction; differential-cell-testing; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; iet-ink-to-composition-model; image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d; microscopy-sem-and-optical-in-mea-cross-section; sem-and-edx; sem-and-fib-layer,reviewed_decode,reviewed_decode_anchor,https://w3id.org/h2kg/decode/workflow/anchor/0d-particle-population-degradation-model-coupled-with-performance-model-fitting-model,"A computational, analytical, transformation, or generic workflow process denoted ""0D Particle population degradation model coupled with performance model (fitting)"" in DECODE hydrogen-electrochemistry workflows. Source context: Considers influence of degradation on exchange current density, validation in progress. Prediction of mass transport losses and ohmic losses due to degradation is under developement","Considers influence of degradation on exchange current density, validation in progress. Prediction of mass transport losses and ohmic losses due to degradation is under developement","Reviewed DECODE semantic role, source label, source workflow context, and direct-neighbor context. This is a draft for expert review, not an authoritative ontology definition.","Decide: strict H2KG alias, existing H2KG mapping, new reusable H2KG term, or retain reviewed DECODE anchor.",needs_human_review,,,,[],CCL thickness; CCL thickness (aged); Catalyst active particle radius distribution (aged); Catalyst coagulation rate constant; Catalyst deactivation rate constant; Catalyst dissolution rate constant; Catalyst re-deposition rate constant; Catalyst surface tension; Cell crossover current density; Cell high-frequency resistance (aged); Cell operation conditions; ECSA (aged); Mass of Pt in the membrane (aged); Time series of cell voltage; Time series of current density
https://w3id.org/h2kg/decode/workflow/concept/0d-particle-population-degradation-model-coupled-with-performance-model-prediction-model,0D Particle population degradation model coupled with performance model (prediction),,Process,https://w3id.org/h2kg/hydrogen-ontology#Process,44,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; 0d-particle-population-degradation-model-fitting; cea-mea-model-europium-2d; differential-cell-testing; diffusivities-from-tortuosities; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; fitting-of-the-europium-model; gdl-compressability; iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-1d-performance-model-for-mea-fitting; iet-1d-performance-model-for-mea-prediction; iet-composition-to-property-model; iet-ink-to-composition-model; image-based-ccl-effective-transport-property-computation-from-numerical-simulations; image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d; image-tem-data-parameter-extraction-3d; microscopy-sem-and-optical-in-mea-cross-section; sem-and-edx; sem-and-fib-layer; tem-and-eds-analysis-of-mea; voxel-based-3d-effective-diffusivity-simulation,reviewed_decode,reviewed_decode_anchor,https://w3id.org/h2kg/decode/workflow/anchor/0d-particle-population-degradation-model-coupled-with-performance-model-prediction-model,"A computational, analytical, transformation, or generic workflow process denoted ""0D Particle population degradation model coupled with performance model (prediction)"" in DECODE hydrogen-electrochemistry workflows. Source context: Considers influence of degradation on exchange current density, validation in progress. Prediction of mass transport losses and ohmic losses due to degradation is under developement Considers influence of degradation on exchange current density, validation in progress. Prediction of mass transport losses and ohmic losses due to degradation is under developement","Considers influence of degradation on exchange current density, validation in progress. Prediction of mass transport losses and ohmic losses due to degradation is under developement Considers influence of degradation on exchange current density, validation in progress. Prediction of mass transport losses and ohmic losses due to degradation is under developement","Reviewed DECODE semantic role, source label, source workflow context, and direct-neighbor context. This is a draft for expert review, not an authoritative ontology definition.","Decide: strict H2KG alias, existing H2KG mapping, new reusable H2KG term, or retain reviewed DECODE anchor.",needs_human_review,,,,[],CCL ORR apparent Tafel slope(s); CCL ORR effective exchange current density; CCL ORR effective exchange current density (aged); CCL effective O2 diffusivity (aged); CCL effective proton conductivity (aged); CCL porosity; CCL thickness; Catalyst active particle density; Catalyst active particle radius distribution; Catalyst active particle radius distribution (aged); Catalyst coagulation rate constant; Catalyst deactivation rate constant; Catalyst dissolution rate constant; Catalyst loading; Catalyst loading (aged); Catalyst re-deposition rate constant; Catalyst support density; Catalyst surface tension; Catalyst-support ratio; Cell crossover current density
https://w3id.org/h2kg/decode/workflow/concept/ab-initio-molecular-dynamics-aimd-of-the-solid-liquid-interface-at-a-pt-electrode-method,Ab-initio molecular dynamics (AIMD) of the solid-liquid interface at a Pt electrode,,Process,https://w3id.org/h2kg/hydrogen-ontology#Process,6,ab-initio-molecular-dynamics-aimd-of-the-solid-liquid-interface-at-a-pt-electrode; dip-and-pull-operando-or-in-situ-xps; irras-operando-or-in-situ-ftir; operando-or-in-situ-xas-photon-out; operando-saxs-or-waxs-small-or-wide-angle-x-ray-spectroscopy; thin-windows-operando-or-in-situ-xps,reviewed_decode,reviewed_decode_anchor,https://w3id.org/h2kg/decode/workflow/anchor/ab-initio-molecular-dynamics-aimd-of-the-solid-liquid-interface-at-a-pt-electrode-method,"A computational, analytical, transformation, or generic workflow process denoted ""Ab-initio molecular dynamics (AIMD) of the solid-liquid interface at a Pt electrode"" in DECODE hydrogen-electrochemistry workflows. Source context: General limitations and accuracy of density functional theory apply; model system size and possible size effects",General limitations and accuracy of density functional theory apply; model system size and possible size effects,"Reviewed DECODE semantic role, source label, source workflow context, and direct-neighbor context. This is a draft for expert review, not an authoritative ontology definition.","Decide: strict H2KG alias, existing H2KG mapping, new reusable H2KG term, or retain reviewed DECODE anchor.",needs_human_review,,,,[],Electrode chemistry; Electrode morphology; Electrolyte composition; LRE capacitance (idealized); LRE species distribution (idealized)
https://w3id.org/h2kg/decode/workflow/concept/accelerated-stress-test-ast-on-nanostructured-electrodes-method,Accelerated Stress Test (AST) on Nanostructured Electrodes,,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,8,accelerated-stress-test-ast-on-nanostructured-electrodes; dropcasted-ink-on-gc-tips; image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d,reviewed_decode,reviewed_decode_anchor,https://w3id.org/h2kg/decode/workflow/anchor/accelerated-stress-test-ast-on-nanostructured-electrodes-method,"A measurable, calculated, or derived scientific characteristic denoted ""Accelerated Stress Test (AST) on Nanostructured Electrodes"" in DECODE hydrogen-electrochemistry workflows. Source context: Act as screening method for the real durability in real systems, and thus is an approximation for all systems it is investigated into - but it should be valid for all DECODE system if the AST is correctly chosen Act as screening method for the real durability in real systems, and thus is an approximation for all systems it is investigated into - but it should be valid for all DECODE system if the AST is correctly chosen","Act as screening method for the real durability in real systems, and thus is an approximation for all systems it is investigated into - but it should be valid for all DECODE system if the AST is correctly chosen Act as screening method for the real durability in real systems, and thus is an approximation for all systems it is investigated into - but it should be valid for all DECODE system if the AST is correctly chosen","Reviewed DECODE semantic role, source label, source workflow context, and direct-neighbor context. This is a draft for expert review, not an authoritative ontology definition.","Decide: strict H2KG alias, existing H2KG mapping, new reusable H2KG term, or retain reviewed DECODE anchor.",needs_human_review,,,,"[{""iri"": ""https://w3id.org/h2kg/hydrogen-ontology#ASTDataset"", ""label"": ""AST Dataset"", ""score"": 0.667}, {""iri"": ""https://w3id.org/h2kg/hydrogen-ontology#AcceleratedStressTestVoltageCycling"", ""label"": ""Accelerated Stress Test Voltage Cycling"", ""score"": 0.568}]",Catalyst loading; Electrolyte; Electrolyte composition; EoT RDE electrochemical response (nanostructured); I/C-ratio; Monomer concentration in the electrolyte; RDE electrode (nanostructured)
https://w3id.org/h2kg/decode/workflow/concept/activation-barriers-of-elementary-steps-lre,Activation barriers of elementary steps,LRE,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,3,dft-onto-idealized-surfaces; fitting-version-of-the-hierachical-model; hierarchical-model-for-electrocatalytic-reactions,reviewed_decode,reviewed_decode_anchor,https://w3id.org/h2kg/decode/workflow/anchor/activation-barriers-of-elementary-steps-lre,"A measurable, calculated, or derived scientific characteristic denoted ""Activation barriers of elementary steps"" in DECODE hydrogen-electrochemistry workflows.",,"Reviewed DECODE semantic role, source label, source workflow context, and direct-neighbor context. This is a draft for expert review, not an authoritative ontology definition.","Decide: strict H2KG alias, existing H2KG mapping, new reusable H2KG term, or retain reviewed DECODE anchor.",needs_human_review,,,,"[{""iri"": ""https://w3id.org/h2kg/hydrogen-ontology#ActivationMechanismTimeScale"", ""label"": ""Activation Mechanism Time Scale"", ""score"": 0.571}, {""iri"": ""https://w3id.org/h2kg/hydrogen-ontology#KOHImmersionActivation"", ""label"": ""KOH Immersion Activation"", ""score"": 0.571}, {""iri"": ""https://w3id.org/h2kg/hydrogen-ontology#SteamActivationProcess"", ""label"": ""Steam Activation Process"", ""score"": 0.571}]",DFT onto idealized surfaces; Fitting Version of the Hierachical Model; Hierarchical model for electrocatalytic reactions
https://w3id.org/h2kg/decode/workflow/concept/active-material-density-in-the-electrode-material,Active material density in the electrode,material,Property,https://w3id.org/h2kg/hydrogen-ontology#Property,1,adsorbate-surface-diffusion-on-electrocatalyst-support,reviewed_decode,reviewed_decode_anchor,https://w3id.org/h2kg/decode/workflow/anchor/active-material-density-in-the-electrode-material,"A measurable, calculated, or derived scientific characteristic denoted ""Active material density in the electrode"" in DECODE hydrogen-electrochemistry workflows.",,"Reviewed DECODE semantic role, source label, source workflow context, and direct-neighbor context. This is a draft for expert review, not an authoritative ontology definition.","Decide: strict H2KG alias, existing H2KG mapping, new reusable H2KG term, or retain reviewed DECODE anchor.",needs_human_review,,,,"[{""iri"": ""https://w3id.org/h2kg/hydrogen-ontology#InterdigitatedElectrodeArray"", ""label"": ""Interdigitated Electrode Array"", ""score"": 0.629}, {""iri"": ""https://w3id.org/h2kg/hydrogen-ontology#FeN4SiteDensity"", ""label"": ""Fe N 4 Site Density"", ""score"": 0.61}, {""iri"": ""https://w3id.org/h2kg/hydrogen-ontology#DensityFunctionalTheoryCalculation"", ""label"": ""Density Functional Theory Calculation"", ""score"": 0.597}]",Adsorbate Surface Diffusion on Electrocatalyst Support
https://w3id.org/h2kg/decode/workflow/concept/active-material-macroscopic-distribution-material,Active material macroscopic distribution,material,Matter,https://w3id.org/h2kg/hydrogen-ontology#Matter,1,adsorbate-surface-diffusion-on-electrocatalyst-support,reviewed_decode,reviewed_decode_anchor,https://w3id.org/h2kg/decode/workflow/anchor/active-material-macroscopic-distribution-material,"A material, component, chemical species, phase, specimen, or assembly denoted ""Active material macroscopic distribution"" in DECODE hydrogen-electrochemistry workflows.",,"Reviewed DECODE semantic role, source label, source workflow context, and direct-neighbor context. This is a draft for expert review, not an authoritative ontology definition.","Decide: strict H2KG alias, existing H2KG mapping, new reusable H2KG term, or retain reviewed DECODE anchor.",needs_human_review,,,,"[{""iri"": ""https://w3id.org/h2kg/hydrogen-ontology#PoreSizeDistributionDataset"", ""label"": ""Pore Size Distribution Dataset"", ""score"": 0.613}, {""iri"": ""https://w3id.org/h2kg/hydrogen-ontology#AgglomerateSizeDistributionDataset"", ""label"": ""Agglomerate Size Distribution Dataset"", ""score"": 0.58}, {""iri"": ""https://w3id.org/h2kg/hydrogen-ontology#PoreSizeDistributionPeakDiameter"", ""label"": ""Pore Size Distribution Peak Diameter"", ""score"": 0.579}]",Adsorbate Surface Diffusion on Electrocatalyst Support
https://w3id.org/h2kg/decode/workflow/concept/active-phase-lre,Active phase,LRE,Matter,https://w3id.org/h2kg/hydrogen-ontology#Matter,2,development-of-a-zero-gap-cell-for-gde-based-spectrocopy-measurement; three-electrode-cell-assesement-of-cl-by-xas-xanes-exafs-xrd,reviewed_decode,reviewed_decode_anchor,https://w3id.org/h2kg/decode/workflow/anchor/active-phase-lre,"A material, component, chemical species, phase, specimen, or assembly denoted ""Active phase"" in DECODE hydrogen-electrochemistry workflows.",,"Reviewed DECODE semantic role, source label, source workflow context, and direct-neighbor context. This is a draft for expert review, not an authoritative ontology definition.","Decide: strict H2KG alias, existing H2KG mapping, new reusable H2KG term, or retain reviewed DECODE anchor.",needs_human_review,,,,"[{""iri"": ""https://w3id.org/h2kg/hydrogen-ontology#CellActiveArea"", ""label"": ""Cell Active Area"", ""score"": 0.783}, {""iri"": ""https://w3id.org/h2kg/hydrogen-ontology#GeometricArea"", ""label"": ""Geometric Area"", ""score"": 0.783}, {""iri"": ""https://w3id.org/h2kg/hydrogen-ontology#ReactionLayer"", ""label"": ""Reaction Layer"", ""score"": 0.75}]","Development of a zero gap cell for GDE based spectrocopy measurement; Three electrode cell assesement of CL by XAS, XANES, EXAFS, XRD"
